name,categories,score,release_date,duration,description,url,timestamp
驯龙高手 - How to Train Your Dragon,"喜剧, 动画, 奇幻, 冒险",8.8,N/A,N/A,N/A,https://ssr1.scrape.center/detail/60,2024-10-18 17:00:32
飞屋环游记 - Up,"剧情, 喜剧, 动画, 冒险",8.8,N/A,N/A,N/A,https://ssr1.scrape.center/detail/61,2024-10-18 17:00:35
黑客帝国3：矩阵革命 - The Matrix Revolutions,"动作, 科幻",8.8,N/A,N/A,N/A,https://ssr1.scrape.center/detail/62,2024-10-18 17:00:36
速度与激情5 - Fast Five,"动作, 犯罪",8.9,N/A,N/A,N/A,https://ssr1.scrape.center/detail/63,2024-10-18 17:00:38
勇敢的心 - Braveheart,"剧情, 动作, 传记, 历史, 战争",8.9,N/A,N/A,N/A,https://ssr1.scrape.center/detail/64,2024-10-18 17:00:40
三傻大闹宝莱坞 - 3 Idiots,"剧情, 喜剧, 爱情, 歌舞",8.9,N/A,N/A,N/A,https://ssr1.scrape.center/detail/65,2024-10-18 17:00:41
闻香识女人 - Scent of a Woman,剧情,8.9,N/A,N/A,N/A,https://ssr1.scrape.center/detail/66,2024-10-18 17:00:43
末代皇帝 - The Last Emperor,"剧情, 传记, 历史",8.9,N/A,N/A,N/A,https://ssr1.scrape.center/detail/67,2024-10-18 17:00:45
风之谷 - 風の谷のナウシカ,"动画, 奇幻, 冒险",8.9,N/A,N/A,N/A,https://ssr1.scrape.center/detail/68,2024-10-18 17:00:46
大话西游之月光宝盒 - A Chinese Odyssey,"喜剧, 爱情, 奇幻, 古装",8.9,N/A,N/A,N/A,https://ssr1.scrape.center/detail/69,2024-10-18 17:00:48
放牛班的春天 - Les choristes,"剧情, 音乐",8.9,N/A,N/A,N/A,https://ssr1.scrape.center/detail/70,2024-10-18 17:00:49
当幸福来敲门 - The Pursuit of Happyness,"剧情, 家庭, 传记",8.9,N/A,N/A,N/A,https://ssr1.scrape.center/detail/71,2024-10-18 17:00:53
幽灵公主 - もののけ姫,"动画, 奇幻, 冒险",8.9,N/A,N/A,N/A,https://ssr1.scrape.center/detail/72,2024-10-18 17:00:54
十二怒汉 - 12 Angry Men,剧情,8.9,N/A,N/A,N/A,https://ssr1.scrape.center/detail/73,2024-10-18 17:00:56
搏击俱乐部 - Fight Club,"剧情, 动作, 悬疑, 惊悚",8.9,N/A,N/A,N/A,https://ssr1.scrape.center/detail/74,2024-10-18 17:00:58
疯狂原始人 - The Croods,"喜剧, 动画, 冒险",8.9,N/A,N/A,N/A,https://ssr1.scrape.center/detail/75,2024-10-18 17:01:00
阿凡达 - Avatar,"动作, 科幻, 冒险",8.9,N/A,N/A,N/A,https://ssr1.scrape.center/detail/76,2024-10-18 17:01:03
哈尔的移动城堡 - ハウルの動く城,"动画, 奇幻, 冒险",8.9,N/A,N/A,N/A,https://ssr1.scrape.center/detail/77,2024-10-18 17:01:05
盗梦空间 - Inception,"剧情, 科幻, 悬疑, 冒险",8.9,N/A,N/A,N/A,https://ssr1.scrape.center/detail/78,2024-10-18 17:01:07
忠犬八公的故事 - Hachi: A Dog's Tale,剧情,8.9,N/A,N/A,N/A,https://ssr1.scrape.center/detail/79,2024-10-18 17:01:09
拯救大兵瑞恩 - Saving Private Ryan,"剧情, 历史, 战争",8.9,N/A,N/A,N/A,https://ssr1.scrape.center/detail/80,2024-10-18 17:01:11
活着 - To Live,"剧情, 家庭, 历史",9.0,N/A,N/A,N/A,https://ssr1.scrape.center/detail/81,2024-10-18 17:01:14
